theta_cm_deg,fresco_mb_sr,scaled_mb_sr
46.4,0.03441,0.004111934269
46.5,0.03406,0.004070109887
46.6,0.03371,0.004028285505
46.7,0.03336,0.003986461122
46.8,0.033,0.003943441758
46.9,0.03263,0.003899227411
47,0.03226,0.003855013064
47.1,0.03189,0.003810798717
47.2,0.03152,0.00376658437
47.3,0.03114,0.00372117504
47.4,0.03075,0.003674570729
47.5,0.03037,0.003629161399
47.6,0.02998,0.003582557088
47.7,0.02959,0.003535952776
47.8,0.0292,0.003489348464
47.9,0.0288,0.00344154917
48,0.02841,0.003394944859
48.1,0.02802,0.003348340547
48.2,0.02762,0.003300541253
48.3,0.02722,0.003252741959
48.4,0.02683,0.003206137647
48.5,0.02643,0.003158338353
48.6,0.02604,0.003111734042
48.7,0.02565,0.00306512973
48.8,0.02525,0.003017330436
48.9,0.02486,0.002970726124
49,0.02447,0.002924121812
49.1,0.02409,0.002878712483
49.2,0.0237,0.002832108171
49.3,0.02332,0.002786698842
49.4,0.02294,0.002741289513
49.5,0.02257,0.002697075166
49.6,0.02219,0.002651665836
49.7,0.02182,0.002607451489
49.8,0.02146,0.002564432125
49.9,0.02109,0.002520217778
50,0.02073,0.002477198413
50.1,0.02038,0.002435374031
50.2,0.02003,0.002393549649
50.3,0.01968,0.002351725266
50.4,0.01934,0.002311095866
50.5,0.019,0.002270466467
50.6,0.01867,0.002231032049
50.7,0.01834,0.002191597631
50.8,0.01801,0.002152163214
50.9,0.0177,0.002115118761
51,0.01738,0.002076879326
51.1,0.01707,0.002039834873
51.2,0.01677,0.002003985402
51.3,0.01647,0.001968135932
51.4,0.01617,0.001932286461
51.5,0.01588,0.001897631973
51.6,0.0156,0.001864172467
51.7,0.01532,0.001830712961
51.8,0.01505,0.001798448438
51.9,0.01478,0.001766183915
52,0.01451,0.001733919391
52.1,0.01425,0.00170284985
52.2,0.014,0.001672975291
52.3,0.01375,0.001643100732
52.4,0.01351,0.001614421156
52.5,0.01327,0.00158574158
52.6,0.01304,0.001558256985
52.7,0.01281,0.001530772391
52.8,0.01259,0.00150448278
52.9,0.01237,0.001478193168
53,0.01215,0.001451903556
53.1,0.01195,0.001428003909
53.2,0.01174,0.00140290928
53.3,0.01154,0.001379009633
53.4,0.01135,0.001356304968
53.5,0.01116,0.001333600304
53.6,0.01098,0.001312090621
53.7,0.0108,0.001290580939
53.8,0.01062,0.001269071257
53.9,0.01045,0.001248756557
54,0.01029,0.001229636839
54.1,0.01013,0.001210517121
54.2,0.009971,0.001191516902
54.3,0.009819,0.00117335317
54.4,0.009672,0.00115578693
54.5,0.009528,0.001138579184
54.6,0.009389,0.001121968929
54.7,0.009254,0.001105836667
54.8,0.009124,0.001090301897
54.9,0.008997,0.001075125621
55,0.008874,0.001060427338
55.1,0.008756,0.001046326546
55.2,0.008641,0.001032584249
55.3,0.00853,0.001019319945
55.4,0.008422,0.001006414136
55.5,0.008319,0.0009941058176
55.6,0.008219,0.0009821559941
55.7,0.008122,0.0009705646653
55.8,0.008029,0.0009594513295
55.9,0.007939,0.0009486964883
56,0.007852,0.0009383001419
56.1,0.007768,0.0009282622901
56.2,0.007687,0.0009185829331
56.3,0.007609,0.0009092620707
56.4,0.007534,0.0009002997031
